CD8_Epitopes,FS20,,,,CD8_Epitopes,FS21,,,,CD8_Epitopes,FS22,,,,CD8_Epitopes,Bang,,,,CD8_Epitopes,FSGT,,,,,CD8_Epitopes,FSSP,,,,CD8_Epitopes,VacRan,,,,CD8_Epitopes,VacSP,,,
Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value
27519,lcl|OR863389.1_prot_WPS90669.1_138,71.43,70,5.70e+00,27519,lcl|OR393175.1_prot_WNV32838.1_138,71.43,70,5.70e+00,27519,lcl|OR393169.1_prot_WNV31944.1_138,71.43,70,5.70e+00,27519,lcl|OP688129.1_prot_UZP80154.1_139,71.43,70,5.80e+00,27589,lcl|MN072620.1_prot_QEJ78731.1_28,1,90,100,7.00e-03,27922,lcl|MW167070.1_prot_QQG63015.1_66,88.89,100,2.50e-02,27519,lcl|OK422494.1_prot_UJQ44513.1_140,71.43,70,5.30e+00,27922,lcl|MT137384.1_prot_QRU95156.1_65,88.89,100,2.40e-02
27589,lcl|OR863389.1_prot_WPS90562.1_31,90,100,7.00e-03,27589,lcl|OR393175.1_prot_WNV32731.1_31,90,100,7.00e-03,27589,lcl|OR393169.1_prot_WNV31837.1_31,90,100,7.00e-03,27589,lcl|OP688129.1_prot_UZP80047.1_32,90,100,7.00e-03,27630,lcl|MN072620.1_prot_QEJ78770.1_67,1,100,100,1.00e-02,28851,lcl|MW167070.1_prot_QQG63062.1_113,77.78,100,2.00e-01,27589,lcl|OK422494.1_prot_UJQ44406.1_33,90,100,7.00e-03,28851,lcl|MT137384.1_prot_QRU95203.1_112,77.78,100,2.00e-01
27630,lcl|OR863389.1_prot_WPS90601.1_70,100,100,1.00e-02,27630,lcl|OR393175.1_prot_WNV32770.1_70,100,100,1.00e-02,27630,lcl|OR393169.1_prot_WNV31876.1_70,100,100,1.00e-02,27630,lcl|OP688129.1_prot_UZP80086.1_71,100,100,1.00e-02,27922,lcl|MN072620.1_prot_QEJ78768.1_65,1,88.89,100,2.40e-02,29011,lcl|MW167070.1_prot_QQG63027.1_78,77.78,100,1.10e+00,27630,lcl|OK422494.1_prot_UJQ44446.1_73,100,100,1.00e-02,29011,lcl|MT137384.1_prot_QRU95168.1_77,77.78,100,1.10e+00
27922,lcl|OR863389.1_prot_WPS90599.1_68,88.89,100,2.40e-02,27922,lcl|OR393175.1_prot_WNV32768.1_68,88.89,100,2.50e-02,27922,lcl|OR393169.1_prot_WNV31874.1_68,88.89,100,2.50e-02,27922,lcl|OP688129.1_prot_UZP80084.1_69,88.89,100,2.50e-02,28851,lcl|MN072620.1_prot_QEJ78815.1_112,1,77.78,100,2.00e-01,29178,lcl|MW167070.1_prot_QQG63045.1_96,75,100,1.70e-01,28851,lcl|OK422494.1_prot_UJQ44490.1_117,77.78,100,1.90e-01,29178,lcl|MT137384.1_prot_QRU95186.1_95,75,100,1.70e-01
27956,lcl|OR863389.1_prot_WPS90681.1_150,71.43,78,3.00e+00,27956,lcl|OR393175.1_prot_WNV32850.1_150,71.43,78,3.00e+00,27956,lcl|OR393169.1_prot_WNV31956.1_150,71.43,78,3.00e+00,27956,lcl|OP688129.1_prot_UZP80167.1_152,71.43,78,3.10e+00,29011,lcl|MN072620.1_prot_QEJ78780.1_77,1,77.78,100,1.00e+00,29268,lcl|MW167070.1_prot_QQG63004.1_55,87.5,89,1.30e-01,29011,lcl|OK422494.1_prot_UJQ44456.1_83,77.78,100,9.60e-01,29268,lcl|MT137384.1_prot_QRU95145.1_54,87.5,89,1.30e-01
28851,lcl|OR863389.1_prot_WPS90646.1_115,77.78,100,2.00e-01,28851,lcl|OR393175.1_prot_WNV32815.1_115,77.78,100,2.00e-01,28851,lcl|OR393169.1_prot_WNV31921.1_115,77.78,100,2.00e-01,28851,lcl|OP688129.1_prot_UZP80131.1_116,77.78,100,2.10e-01,29178,lcl|MN072620.1_prot_QEJ78798.1_95,1,75,100,1.70e-01,31210,lcl|MW167070.1_prot_QQG62989.1_40,88.89,100,1.20e-01,29178,lcl|OK422494.1_prot_UJQ44474.1_101,75,100,1.60e-01,31210,lcl|MT137384.1_prot_QRU95130.1_39,88.89,100,1.20e-01
29011,lcl|OR863389.1_prot_WPS90611.1_80,77.78,100,1.00e+00,29011,lcl|OR393175.1_prot_WNV32780.1_80,77.78,100,1.00e+00,29011,lcl|OR393169.1_prot_WNV31886.1_80,77.78,100,1.00e+00,29011,lcl|OP688129.1_prot_UZP80096.1_81,77.78,100,1.00e+00,29268,lcl|MN072620.1_prot_QEJ78757.1_54,1,87.5,89,1.30e-01,31856,lcl|MW167070.1_prot_QQG63011.1_62,85.71,78,2.80e-01,29268,lcl|OK422494.1_prot_UJQ44434.1_61,87.5,89,1.30e-01,31856,lcl|MT137384.1_prot_QRU95152.1_61,85.71,78,2.80e-01
29178,lcl|OR863389.1_prot_WPS90629.1_98,75,100,1.70e-01,29178,lcl|OR393175.1_prot_WNV32798.1_98,75,100,1.70e-01,29178,lcl|OR393169.1_prot_WNV31904.1_98,75,100,1.70e-01,29178,lcl|OP688129.1_prot_UZP80114.1_99,75,100,1.70e-01,31210,lcl|MN072620.1_prot_QEJ78742.1_39,1,88.89,100,1.30e-01,31866,lcl|MW167070.1_prot_QQG63035.1_86,75,89,1.50e-01,31210,lcl|OK422494.1_prot_UJQ44418.1_45,88.89,100,1.20e-01,31866,lcl|MT137384.1_prot_QRU95176.1_85,75,89,1.50e-01
29268,lcl|OR863389.1_prot_WPS90588.1_57,87.5,89,1.30e-01,29268,lcl|OR393175.1_prot_WNV32757.1_57,87.5,89,1.30e-01,29268,lcl|OR393169.1_prot_WNV31863.1_57,87.5,89,1.30e-01,29268,lcl|OP688129.1_prot_UZP80073.1_58,87.5,89,1.40e-01,31856,lcl|MN072620.1_prot_QEJ78764.1_61,1,85.71,78,2.80e-01,31938,lcl|MW167070.1_prot_QQG62995.1_46,75,80,3.00e+00,31856,lcl|OK422494.1_prot_UJQ44441.1_68,85.71,78,2.80e-01,31938,lcl|MT137384.1_prot_QRU95136.1_45,75,80,3.00e+00
31210,lcl|OR863389.1_prot_WPS90573.1_42,88.89,100,1.20e-01,31210,lcl|OR393175.1_prot_WNV32742.1_42,88.89,100,1.20e-01,31210,lcl|OR393169.1_prot_WNV31848.1_42,88.89,100,1.20e-01,31210,lcl|OP688129.1_prot_UZP80058.1_43,88.89,100,1.30e-01,31866,lcl|MN072620.1_prot_QEJ78788.1_85,1,75,89,1.50e-01,31986,lcl|MW167070.1_prot_QQG62995.1_46,88.89,100,1.70e-02,31866,lcl|OK422494.1_prot_UJQ44464.1_91,75,89,1.40e-01,31986,lcl|MT137384.1_prot_QRU95136.1_45,88.89,100,1.70e-02
31856,lcl|OR863389.1_prot_WPS90595.1_64,85.71,78,3.00e-01,31856,lcl|OR393175.1_prot_WNV32764.1_64,85.71,78,3.00e-01,31856,lcl|OR393169.1_prot_WNV31870.1_64,85.71,78,2.80e-01,31856,lcl|OP688129.1_prot_UZP80080.1_65,85.71,78,3.00e-01,31938,lcl|MN072620.1_prot_QEJ78748.1_45,1,75,80,3.20e+00,32004,lcl|MW167070.1_prot_QQG62971.1_22,80,100,7.60e-02,31938,lcl|OK422494.1_prot_UJQ44424.1_51,75,80,3.00e+00,32004,lcl|MT137384.1_prot_QRU95112.1_21,80,100,7.60e-02
31866,lcl|OR863389.1_prot_WPS90619.1_88,75,89,1.50e-01,31866,lcl|OR393175.1_prot_WNV32788.1_88,75,89,1.50e-01,31866,lcl|OR393169.1_prot_WNV31894.1_88,75,89,1.50e-01,31866,lcl|OP688129.1_prot_UZP80104.1_89,75,89,1.50e-01,31986,lcl|MN072620.1_prot_QEJ78748.1_45,1,88.89,100,1.70e-02,32015,lcl|MW167070.1_prot_QQG63020.1_71,87.5,89,5.20e-02,31986,lcl|OK422494.1_prot_UJQ44424.1_51,88.89,100,1.60e-02,32015,lcl|MT137384.1_prot_QRU95161.1_70,87.5,89,5.20e-02
31938,lcl|OR863389.1_prot_WPS90579.1_48,75,80,3.20e+00,31938,lcl|OR393175.1_prot_WNV32748.1_48,75,80,3.20e+00,31938,lcl|OR393169.1_prot_WNV31854.1_48,75,80,3.20e+00,31938,lcl|OP688129.1_prot_UZP80064.1_49,75,80,3.30e+00,32004,lcl|MN072620.1_prot_QEJ78724.1_21,1,80,100,7.60e-02,32050,lcl|MW167070.1_prot_QQG63017.1_68,88.89,100,5.70e-02,32004,lcl|OK422494.1_prot_UJQ44398.1_25,80,100,7.00e-02,32050,lcl|MT137384.1_prot_QRU95158.1_67,88.89,100,5.80e-02
31986,lcl|OR863389.1_prot_WPS90579.1_48,88.89,100,1.70e-02,31986,lcl|OR393175.1_prot_WNV32748.1_48,88.89,100,1.70e-02,31986,lcl|OR393169.1_prot_WNV31854.1_48,88.89,100,1.70e-02,31986,lcl|OP688129.1_prot_UZP80064.1_49,88.89,100,1.70e-02,32015,lcl|MN072620.1_prot_QEJ78773.1_70,1,87.5,89,6.10e-02,32139,lcl|MW167070.1_prot_QQG63046.1_97,100,80,6.00e-03,32015,lcl|OK422494.1_prot_UJQ44449.1_76,87.5,89,5.10e-02,32139,lcl|MT137384.1_prot_QRU95187.1_96,100,80,6.00e-03
32004,lcl|OR863389.1_prot_WPS90555.1_24,80,100,7.50e-02,32004,lcl|OR393175.1_prot_WNV32724.1_24,80,100,7.50e-02,32004,lcl|OR393169.1_prot_WNV31830.1_24,80,100,7.50e-02,32004,lcl|OP688129.1_prot_UZP80040.1_25,80,100,7.60e-02,32050,lcl|MN072620.1_prot_QEJ78770.1_67,1,77.78,100,2.70e-01,32231,lcl|MW167070.1_prot_QQG63057.1_108,90,100,1.90e-02,32050,lcl|OK422494.1_prot_UJQ44446.1_73,88.89,100,5.50e-02,32231,lcl|MT137384.1_prot_QRU95198.1_107,90,100,1.90e-02
32015,lcl|OR863389.1_prot_WPS90604.1_73,87.5,89,5.50e-02,32015,lcl|OR393175.1_prot_WNV32773.1_73,87.5,89,5.50e-02,32015,lcl|OR393169.1_prot_WNV31879.1_73,87.5,89,5.50e-02,32015,lcl|OP688129.1_prot_UZP80089.1_74,87.5,89,5.60e-02,32139,lcl|MN072620.1_prot_QEJ78799.1_96,1,100,80,7.00e-03,32249,lcl|MW167070.1_prot_QQG62990.1_41,88.89,100,2.90e-02,32139,lcl|OK422494.1_prot_UJQ44475.1_102,100,80,6.00e-03,32249,lcl|MT137384.1_prot_QRU95131.1_40,88.89,100,2.90e-02
32050,lcl|OR863389.1_prot_WPS90601.1_70,88.89,100,5.90e-02,32050,lcl|OR393175.1_prot_WNV32770.1_70,88.89,100,5.90e-02,32050,lcl|OR393169.1_prot_WNV31876.1_70,88.89,100,5.90e-02,32050,lcl|OP688129.1_prot_UZP80086.1_71,88.89,100,6.00e-02,32231,lcl|MN072620.1_prot_QEJ78810.1_107,1,90,100,2.80e-02,32259,lcl|MW167070.1_prot_QQG62972.1_23,100,89,5.90e-02,32231,lcl|OK422494.1_prot_UJQ44485.1_112,90,100,2.60e-02,32259,lcl|MT137384.1_prot_QRU95113.1_22,100,89,5.90e-02
32139,lcl|OR863389.1_prot_WPS90630.1_99,100,80,6.00e-03,32139,lcl|OR393175.1_prot_WNV32799.1_99,100,80,6.00e-03,32139,lcl|OR393169.1_prot_WNV31905.1_99,100,80,6.00e-03,32139,lcl|OP688129.1_prot_UZP80115.1_100,100,80,7.00e-03,32249,lcl|MN072620.1_prot_QEJ78743.1_40,1,88.89,100,3.20e-02,33586,lcl|MW167070.1_prot_QQG63060.1_111,71.43,88,3.10e+00,32249,lcl|OK422494.1_prot_UJQ44419.1_46,88.89,100,3.00e-02,33586,lcl|MT137384.1_prot_QRU95201.1_110,71.43,88,3.10e+00
32231,lcl|OR863389.1_prot_WPS90641.1_110,90,100,2.80e-02,32231,lcl|OR393175.1_prot_WNV32810.1_110,90,100,2.80e-02,32231,lcl|OR393169.1_prot_WNV31916.1_110,90,100,2.80e-02,32231,lcl|OP688129.1_prot_UZP80126.1_111,90,100,2.90e-02,32259,lcl|MN072620.1_prot_QEJ78725.1_22,1,100,89,6.30e-02,34017,lcl|MW167070.1_prot_QQG63043.1_94,75,100,1.10e-01,32259,lcl|OK422494.1_prot_UJQ44400.1_27,100,89,6.00e-02,34017,lcl|MT137384.1_prot_QRU95184.1_93,75,100,1.10e-01
32249,lcl|OR863389.1_prot_WPS90574.1_43,88.89,100,3.20e-02,32249,lcl|OR393175.1_prot_WNV32743.1_43,88.89,100,3.20e-02,32249,lcl|OR393169.1_prot_WNV31849.1_43,88.89,100,3.20e-02,32249,lcl|OP688129.1_prot_UZP80059.1_44,88.89,100,3.30e-02,33586,lcl|MN072620.1_prot_QEJ78813.1_110,1,71.43,88,3.20e+00,34342,lcl|MW167070.1_prot_QQG63017.1_68,100,100,1.70e-02,33586,lcl|OK422494.1_prot_UJQ44488.1_115,71.43,88,3.00e+00,34342,lcl|MT137384.1_prot_QRU95158.1_67,100,100,1.70e-02
32259,lcl|OR863389.1_prot_WPS90557.1_26,100,89,6.30e-02,32259,lcl|OR393175.1_prot_WNV32726.1_26,100,89,6.40e-02,32259,lcl|OR393169.1_prot_WNV31832.1_26,100,89,6.40e-02,32259,lcl|OP688129.1_prot_UZP80042.1_27,100,89,6.50e-02,34017,lcl|MN072620.1_prot_QEJ78796.1_93,1,75,100,1.20e-01,34392,lcl|MW167070.1_prot_QQG63025.1_76,75,89,1.30e-01,34017,lcl|OK422494.1_prot_UJQ44472.1_99,75,100,9.40e-02,34392,lcl|MT137384.1_prot_QRU95166.1_75,75,89,1.30e-01
33586,lcl|OR863389.1_prot_WPS90644.1_113,71.43,88,3.20e+00,33586,lcl|OR393175.1_prot_WNV32813.1_113,71.43,88,3.20e+00,33586,lcl|OR393169.1_prot_WNV31919.1_113,71.43,88,3.20e+00,33586,lcl|OP688129.1_prot_UZP80129.1_114,71.43,88,3.30e+00,34105,lcl|MN072620.1_prot_QEJ78830.1_127,1,71.43,70,3.80e+00,34422,lcl|MW167070.1_prot_QQG63017.1_68,88.89,100,2.00e-02,34342,lcl|OK422494.1_prot_UJQ44446.1_73,100,100,1.60e-02,34422,lcl|MT137384.1_prot_QRU95158.1_67,88.89,100,2.00e-02
34017,lcl|OR863389.1_prot_WPS90627.1_96,75,100,1.00e-01,34017,lcl|OR393175.1_prot_WNV32796.1_96,75,100,1.00e-01,34017,lcl|OR393169.1_prot_WNV31902.1_96,75,100,1.00e-01,34017,lcl|OP688129.1_prot_UZP80112.1_97,75,100,1.00e-01,34342,lcl|MN072620.1_prot_QEJ78770.1_67,1,100,100,1.70e-02,34431,lcl|MW167070.1_prot_QQG63025.1_76,100,100,1.40e-02,34392,lcl|OK422494.1_prot_UJQ44454.1_81,75,89,1.60e-01,34431,lcl|MT137384.1_prot_QRU95166.1_75,100,100,1.40e-02
34105,lcl|OR863389.1_prot_WPS90660.1_129,71.43,70,3.80e+00,34105,lcl|OR393175.1_prot_WNV32829.1_129,71.43,70,3.80e+00,34105,lcl|OR393169.1_prot_WNV31935.1_129,71.43,70,3.80e+00,34105,lcl|OP688129.1_prot_UZP80145.1_130,71.43,70,3.80e+00,34392,lcl|MN072620.1_prot_QEJ78778.1_75,1,75,89,1.70e-01,34441,lcl|MW167070.1_prot_QQG63056.1_107,70,100,4.40e+00,34422,lcl|OK422494.1_prot_UJQ44446.1_73,88.89,100,1.90e-02,34441,lcl|MT137384.1_prot_QRU95197.1_106,70,100,4.40e+00
34342,lcl|OR863389.1_prot_WPS90601.1_70,100,100,1.70e-02,34342,lcl|OR393175.1_prot_WNV32770.1_70,100,100,1.70e-02,34342,lcl|OR393169.1_prot_WNV31876.1_70,100,100,1.70e-02,34342,lcl|OP688129.1_prot_UZP80086.1_71,100,100,1.70e-02,34422,lcl|MN072620.1_prot_QEJ78770.1_67,1,88.89,100,2.00e-02,34649,lcl|MW167070.1_prot_QQG63072.1_123,85.71,78,1.00e+00,34431,lcl|OK422494.1_prot_UJQ44454.1_81,100,100,1.30e-02,34649,lcl|MT137384.1_prot_QRU95213.1_122,85.71,78,1.00e+00
34392,lcl|OR863389.1_prot_WPS90609.1_78,75,89,1.70e-01,34392,lcl|OR393175.1_prot_WNV32778.1_78,75,89,1.70e-01,34392,lcl|OR393169.1_prot_WNV31884.1_78,75,89,1.70e-01,34392,lcl|OP688129.1_prot_UZP80094.1_79,75,89,1.70e-01,34431,lcl|MN072620.1_prot_QEJ78778.1_75,1,100,100,1.40e-02,36359,lcl|MW167070.1_prot_QQG63025.1_76,71.43,78,2.80e+00,34441,lcl|OK422494.1_prot_UJQ44484.1_111,70,100,4.30e+00,36359,lcl|MT137384.1_prot_QRU95166.1_75,71.43,78,2.80e+00
34422,lcl|OR863389.1_prot_WPS90601.1_70,88.89,100,2.00e-02,34422,lcl|OR393175.1_prot_WNV32770.1_70,88.89,100,2.00e-02,34422,lcl|OR393169.1_prot_WNV31876.1_70,88.89,100,2.00e-02,34422,lcl|OP688129.1_prot_UZP80086.1_71,88.89,100,2.00e-02,34441,lcl|MN072620.1_prot_QEJ78809.1_106,1,70,100,4.50e+00,36669,lcl|MW167070.1_prot_QQG63044.1_95,88.89,100,2.50e-02,34649,lcl|OK422494.1_prot_UJQ44500.1_127,85.71,78,9.40e-01,36669,lcl|MT137384.1_prot_QRU95185.1_94,88.89,100,2.50e-02
34431,lcl|OR863389.1_prot_WPS90609.1_78,100,100,1.40e-02,34431,lcl|OR393175.1_prot_WNV32778.1_78,100,100,1.40e-02,34431,lcl|OR393169.1_prot_WNV31884.1_78,100,100,1.40e-02,34431,lcl|OP688129.1_prot_UZP80094.1_79,100,100,1.40e-02,34649,lcl|MN072620.1_prot_QEJ78825.1_122,1,85.71,78,9.80e-01,37791,lcl|MW167070.1_prot_QQG62971.1_22,77.78,100,2.30e-01,36359,lcl|OK422494.1_prot_UJQ44454.1_81,71.43,78,2.70e+00,37791,lcl|MT137384.1_prot_QRU95112.1_21,77.78,100,2.30e-01
34441,lcl|OR863389.1_prot_WPS90640.1_109,70,100,4.60e+00,34441,lcl|OR393175.1_prot_WNV32809.1_109,70,100,4.60e+00,34441,lcl|OR393169.1_prot_WNV31915.1_109,70,100,4.60e+00,34441,lcl|OP688129.1_prot_UZP80125.1_110,70,100,4.70e+00,36359,lcl|MN072620.1_prot_QEJ78778.1_75,1,71.43,78,2.90e+00,37840,lcl|MW167070.1_prot_QQG63025.1_76,88.89,100,2.20e-01,36669,lcl|OK422494.1_prot_UJQ44473.1_100,88.89,100,2.00e-02,37840,lcl|MT137384.1_prot_QRU95166.1_75,88.89,100,2.20e-01
34649,lcl|OR863389.1_prot_WPS90655.1_124,85.71,78,1.00e+00,34649,lcl|OR393175.1_prot_WNV32824.1_124,85.71,78,1.00e+00,34649,lcl|OR393169.1_prot_WNV31930.1_124,85.71,78,1.00e+00,34649,lcl|OP688129.1_prot_UZP80140.1_125,85.71,78,1.00e+00,36669,lcl|MN072620.1_prot_QEJ78797.1_94,1,88.89,100,2.30e-02,37972,lcl|MW167070.1_prot_QQG62971.1_22,77.78,100,3.10e-01,37414,lcl|OK422494.1_prot_UJQ44454.1_81,71.43,78,9.80e+00,37972,lcl|MT137384.1_prot_QRU95112.1_21,77.78,100,3.10e-01
36359,lcl|OR863389.1_prot_WPS90609.1_78,71.43,78,2.80e+00,36359,lcl|OR393175.1_prot_WNV32778.1_78,71.43,78,2.80e+00,36359,lcl|OR393169.1_prot_WNV31884.1_78,71.43,78,2.80e+00,36359,lcl|OP688129.1_prot_UZP80094.1_79,71.43,78,2.90e+00,37791,lcl|MN072620.1_prot_QEJ78724.1_21,1,77.78,100,2.30e-01,38164,lcl|MW167070.1_prot_QQG63004.1_55,100,100,6.10e-02,37791,lcl|OK422494.1_prot_UJQ44398.1_25,77.78,100,2.00e-01,38164,lcl|MT137384.1_prot_QRU95145.1_54,100,100,6.10e-02
36669,lcl|OR863389.1_prot_WPS90628.1_97,88.89,100,2.10e-02,36669,lcl|OR393175.1_prot_WNV32797.1_97,88.89,100,2.10e-02,36669,lcl|OR393169.1_prot_WNV31903.1_97,88.89,100,2.10e-02,36669,lcl|OP688129.1_prot_UZP80113.1_98,88.89,100,2.20e-02,37840,lcl|MN072620.1_prot_QEJ78778.1_75,1,88.89,100,2.30e-01,38658,lcl|MW167070.1_prot_QQG63008.1_59,100,100,2.00e-03,37840,lcl|OK422494.1_prot_UJQ44454.1_81,88.89,100,2.10e-01,38658,lcl|MT137384.1_prot_QRU95149.1_58,100,100,2.00e-03
37791,lcl|OR863389.1_prot_WPS90555.1_24,77.78,100,2.20e-01,37791,lcl|OR393175.1_prot_WNV32724.1_24,77.78,100,2.20e-01,37791,lcl|OR393169.1_prot_WNV31830.1_24,77.78,100,2.20e-01,37791,lcl|OP688129.1_prot_UZP80040.1_25,77.78,100,2.20e-01,37972,lcl|MN072620.1_prot_QEJ78724.1_21,1,77.78,100,3.00e-01,38721,lcl|MW167070.1_prot_QQG63033.1_84,75,89,4.60e-01,37972,lcl|OK422494.1_prot_UJQ44398.1_25,77.78,100,2.80e-01,38721,lcl|MT137384.1_prot_QRU95174.1_83,75,89,4.60e-01
37840,lcl|OR863389.1_prot_WPS90609.1_78,88.89,100,2.20e-01,37840,lcl|OR393175.1_prot_WNV32778.1_78,88.89,100,2.20e-01,37840,lcl|OR393169.1_prot_WNV31884.1_78,88.89,100,2.20e-01,37840,lcl|OP688129.1_prot_UZP80094.1_79,88.89,100,2.20e-01,38164,lcl|MN072620.1_prot_QEJ78757.1_54,1,100,100,6.30e-02,38729,lcl|MW167070.1_prot_QQG63062.1_113,75,89,9.30e-01,38164,lcl|OK422494.1_prot_UJQ44434.1_61,100,100,6.00e-02,38729,lcl|MT137384.1_prot_QRU95203.1_112,75,89,9.30e-01
37972,lcl|OR863389.1_prot_WPS90555.1_24,77.78,100,3.00e-01,37972,lcl|OR393175.1_prot_WNV32724.1_24,77.78,100,3.00e-01,37972,lcl|OR393169.1_prot_WNV31830.1_24,77.78,100,3.00e-01,37972,lcl|OP688129.1_prot_UZP80040.1_25,77.78,100,3.10e-01,38658,lcl|MN072620.1_prot_QEJ78761.1_58,1,100,100,1.00e-03,39416,lcl|MW167070.1_prot_QQG62971.1_22,75,100,6.60e-01,38658,lcl|OK422494.1_prot_UJQ44438.1_65,100,100,1.00e-03,39416,lcl|MT137384.1_prot_QRU95112.1_21,75,100,6.60e-01
38164,lcl|OR863389.1_prot_WPS90588.1_57,100,100,6.40e-02,38164,lcl|OR393175.1_prot_WNV32757.1_57,100,100,6.40e-02,38164,lcl|OR393169.1_prot_WNV31863.1_57,100,100,6.40e-02,38164,lcl|OP688129.1_prot_UZP80073.1_58,100,100,6.50e-02,38729,lcl|MN072620.1_prot_QEJ78815.1_112,1,75,89,9.40e-01,39759,lcl|MW167070.1_prot_QQG63047.1_98,83.33,75,3.30e+00,38721,lcl|OK422494.1_prot_UJQ44462.1_89,75,89,4.40e-01,39759,lcl|MT137384.1_prot_QRU95188.1_97,83.33,75,3.20e+00
38658,lcl|OR863389.1_prot_WPS90592.1_61,100,100,1.00e-03,38658,lcl|OR393175.1_prot_WNV32761.1_61,100,100,1.00e-03,38658,lcl|OR393169.1_prot_WNV31867.1_61,100,100,1.00e-03,38658,lcl|OP688129.1_prot_UZP80077.1_62,100,100,1.00e-03,39315,lcl|MN072620.1_prot_QEJ78731.1_28,1,71.43,78,5.60e+00,41517,lcl|MW167070.1_prot_QQG63058.1_109,71.43,78,2.80e+00,38729,lcl|OK422494.1_prot_UJQ44490.1_117,75,89,8.70e-01,41517,lcl|MT137384.1_prot_QRU95199.1_108,71.43,78,2.70e+00
38721,lcl|OR863389.1_prot_WPS90617.1_86,75,89,4.70e-01,38721,lcl|OR393175.1_prot_WNV32786.1_86,75,89,4.70e-01,38721,lcl|OR393169.1_prot_WNV31892.1_86,75,89,4.70e-01,38721,lcl|OP688129.1_prot_UZP80102.1_87,75,89,4.80e-01,39416,lcl|MN072620.1_prot_QEJ78724.1_21,1,75,100,6.60e-01,41995,lcl|MW167070.1_prot_QQG63043.1_94,88.89,100,8.30e-02,39416,lcl|OK422494.1_prot_UJQ44398.1_25,75,100,6.00e-01,41995,lcl|MT137384.1_prot_QRU95184.1_93,88.89,100,8.30e-02
38729,lcl|OR863389.1_prot_WPS90646.1_115,75,89,9.30e-01,38729,lcl|OR393175.1_prot_WNV32815.1_115,75,89,9.30e-01,38729,lcl|OR393169.1_prot_WNV31921.1_115,75,89,9.30e-01,38729,lcl|OP688129.1_prot_UZP80131.1_116,75,89,9.50e-01,39759,lcl|MN072620.1_prot_QEJ78800.1_97,1,83.33,75,3.00e+00,42002,lcl|MW167070.1_prot_QQG63023.1_74,88.89,100,2.20e-01,39759,lcl|OK422494.1_prot_UJQ44476.1_103,83.33,75,3.10e+00,42002,lcl|MT137384.1_prot_QRU95164.1_73,88.89,100,2.20e-01
39416,lcl|OR863389.1_prot_WPS90555.1_24,75,100,6.40e-01,39416,lcl|OR393175.1_prot_WNV32724.1_24,75,100,6.40e-01,39416,lcl|OR393169.1_prot_WNV31830.1_24,75,100,6.40e-01,39416,lcl|OP688129.1_prot_UZP80040.1_25,75,100,6.50e-01,41517,lcl|MN072620.1_prot_QEJ78811.1_108,1,71.43,78,2.80e+00,42012,lcl|MW167070.1_prot_QQG63084.1_135,71.43,78,5.30e+00,41995,lcl|OK422494.1_prot_UJQ44472.1_99,88.89,100,5.00e-01,42012,lcl|MT137384.1_prot_QRU95225.1_134,71.43,78,5.30e+00
39759,lcl|OR863389.1_prot_WPS90631.1_100,83.33,75,3.30e+00,39759,lcl|OR393175.1_prot_WNV32800.1_100,83.33,75,3.30e+00,39759,lcl|OR393169.1_prot_WNV31906.1_100,83.33,75,3.30e+00,39759,lcl|OP688129.1_prot_UZP80116.1_101,83.33,75,3.30e+00,41995,lcl|MN072620.1_prot_QEJ78796.1_93,1,88.89,100,8.00e-02,42075,lcl|MW167070.1_prot_QQG63035.1_86,90,100,8.00e-03,42002,lcl|OK422494.1_prot_UJQ44452.1_79,88.89,100,2.00e-01,42075,lcl|MT137384.1_prot_QRU95176.1_85,90,100,8.00e-03
41517,lcl|OR863389.1_prot_WPS90642.1_111,71.43,78,2.80e+00,41517,lcl|OR393175.1_prot_WNV32811.1_111,71.43,78,2.80e+00,41517,lcl|OR393169.1_prot_WNV31917.1_111,71.43,78,2.80e+00,41517,lcl|OP688129.1_prot_UZP80127.1_112,71.43,78,2.80e+00,42002,lcl|MN072620.1_prot_QEJ78776.1_73,1,88.89,100,2.20e-01,42262,lcl|MW167070.1_prot_QQG63017.1_68,77.78,100,1.10e-01,42012,lcl|OK422494.1_prot_UJQ44513.1_140,71.43,78,5.20e+00,42262,lcl|MT137384.1_prot_QRU95158.1_67,77.78,100,1.10e-01
41995,lcl|OR863389.1_prot_WPS90627.1_96,88.89,100,5.40e-01,41995,lcl|OR393175.1_prot_WNV32796.1_96,88.89,100,5.40e-01,41995,lcl|OR393169.1_prot_WNV31902.1_96,88.89,100,5.40e-01,41995,lcl|OP688129.1_prot_UZP80112.1_97,88.89,100,5.50e-01,42012,lcl|MN072620.1_prot_QEJ78838.1_135,1,71.43,78,5.60e+00,43098,lcl|MW167070.1_prot_QQG62978.1_29,90,100,7.00e-03,42075,lcl|OK422494.1_prot_UJQ44464.1_91,90,100,7.00e-03,43098,lcl|MT137384.1_prot_QRU95119.1_28,90,100,7.00e-03
